"User","freq_type","mone_type","rec_type","Cluster","value"
888,3,2,3,1,41
889,2,3,2,3,44
890,2,1,1,4,19
892,2,2,2,2,34
893,2,1,1,4,19
895,2,2,1,4,29
896,2,2,3,3,39
897,3,3,3,1,51
899,1,2,1,4,27
901,2,3,3,3,49
902,1,2,3,2,37
904,1,1,1,5,17
905,2,2,3,2,39
906,1,1,1,4,17
907,2,2,3,2,39
908,3,3,2,3,46
909,2,2,3,3,39
911,2,2,3,3,39
912,2,1,2,3,24
913,2,2,1,4,29
914,2,2,1,5,29
915,1,1,1,4,17
916,3,2,3,1,41
917,2,2,3,2,39
918,1,1,1,4,17
921,2,2,2,3,34
922,3,3,1,3,41
923,2,2,3,2,39
924,1,1,1,4,17
925,1,1,3,2,27
926,1,1,1,4,17
927,2,1,3,2,29
928,2,2,1,4,29
929,2,2,3,3,39
930,3,3,1,1,41
931,2,2,2,2,34
932,2,3,2,3,44
934,2,2,3,3,39
935,3,3,3,1,51
936,2,3,1,4,39
937,3,3,1,1,41
938,1,3,1,5,37
941,3,3,2,1,46
942,2,2,1,4,29
943,2,2,3,3,39
945,3,3,3,1,51
946,1,1,2,4,22
947,2,3,1,3,39
948,2,3,2,3,44
949,2,3,1,4,39
950,2,3,3,2,49
951,2,2,1,4,29
952,2,3,1,4,39
953,2,2,1,4,29
954,1,1,3,2,27
955,3,2,3,1,41
957,2,3,2,2,44
958,2,3,3,3,49
959,3,3,2,1,46
960,2,1,3,2,29
961,1,1,1,5,17
962,2,3,3,2,49
963,2,3,1,3,39
965,1,1,1,5,17
967,1,2,1,5,27
968,2,1,2,4,24
969,1,1,1,5,17
970,2,2,1,4,29
971,3,2,2,1,36
973,1,2,2,4,32
974,2,2,1,5,29
975,2,2,3,2,39
976,3,3,1,3,41
977,2,3,3,3,49
979,3,3,3,1,51
980,2,2,1,5,29
981,1,2,1,4,27
982,1,1,1,4,17
983,2,3,3,3,49
984,2,2,2,2,34
985,3,2,3,1,41
987,2,3,3,3,49
988,2,1,2,2,24
990,2,3,2,3,44
991,1,1,2,2,22
992,2,3,1,3,39
993,2,2,2,3,34
994,2,2,1,4,29
995,2,2,2,2,34
996,1,1,2,2,22
997,1,2,3,2,37
1000,2,2,3,2,39
1001,1,2,2,2,32
1002,2,2,3,3,39
1003,2,3,1,3,39
1004,2,2,3,3,39
1005,2,3,3,2,49
1006,2,3,3,2,49
1007,1,1,1,5,17
1008,2,2,1,4,29
1009,1,1,1,4,17
1010,1,1,1,5,17
1011,3,3,3,1,51
1012,3,3,3,1,51
1013,2,2,3,2,39
1014,3,3,3,1,51
1016,2,1,2,3,24
1017,2,3,1,4,39
1019,2,3,3,3,49
1021,2,2,3,2,39
1022,1,2,2,4,32
1023,2,3,3,3,49
1024,1,2,1,5,27
1025,2,2,1,4,29
1026,2,3,1,4,39
1028,1,1,2,2,22
1029,3,3,3,1,51
1030,2,3,1,4,39
1031,2,3,3,2,49
1032,2,3,3,2,49
1033,1,1,1,5,17
1034,2,2,1,4,29
1035,3,3,2,1,46
1036,2,2,3,2,39
1037,2,2,1,5,29
1038,1,1,2,2,22
1039,2,2,1,4,29
1040,2,2,1,4,29
1041,2,1,2,2,24
1043,2,3,2,3,44
1044,1,2,1,4,27
1045,2,2,1,4,29
1046,2,2,1,3,29
1047,1,1,3,2,27
1048,1,1,1,5,17
1050,2,2,3,2,39
1052,2,1,3,2,29
1054,1,1,2,2,22
1055,1,1,1,5,17
1056,1,1,2,2,22
1057,1,1,3,2,27
1058,1,1,1,4,17
1059,2,2,3,2,39
1060,2,2,1,5,29
1061,2,3,2,3,44
1062,2,3,1,4,39
1063,1,1,1,5,17
1066,1,1,2,2,22
1067,3,3,1,1,41
1068,2,2,1,4,29
1069,3,3,3,1,51
1072,2,2,1,3,29
1073,1,1,3,2,27
1075,2,3,1,4,39
1077,1,1,2,2,22
1078,1,1,1,4,17
1079,3,3,3,1,51
1080,2,1,3,2,29
1081,2,2,1,3,29
1082,1,1,1,4,17
1084,1,1,1,5,17
1085,1,3,1,5,37
1086,1,1,2,2,22
1087,1,1,1,4,17
1088,2,3,1,3,39
1090,1,1,1,4,17
1092,1,2,1,4,27
1093,1,1,3,2,27
1094,3,3,3,1,51
1095,2,2,3,3,39
1096,1,2,1,4,27
1097,1,2,1,5,27
1099,1,1,1,5,17
1100,2,2,3,3,39
1101,2,3,1,3,39
1102,3,3,1,3,41
1103,3,3,3,1,51
1106,1,1,1,5,17
1108,2,2,3,3,39
1109,2,3,3,3,49
1110,1,1,1,5,17
1111,3,3,2,1,46
1112,2,2,1,4,29
1113,1,1,1,4,17
1114,2,2,3,2,39
1115,2,3,1,3,39
1116,2,2,2,3,34
1118,1,1,1,5,17
1119,3,3,3,1,51
1121,2,2,2,2,34
1122,2,2,2,3,34
1123,2,1,2,4,24
1124,2,2,3,3,39
1126,2,3,2,3,44
1127,2,3,3,3,49
1129,2,2,3,2,39
1130,2,2,1,4,29
1131,3,2,3,1,41
1132,1,2,1,4,27
1133,2,1,3,3,29
1134,1,1,1,4,17
1135,2,3,2,3,44
1136,2,1,2,2,24
1137,2,3,1,4,39
1138,2,3,1,4,39
1140,1,1,3,2,27
1141,2,2,3,2,39
1142,1,1,2,2,22
1143,2,2,1,4,29
1144,3,3,2,1,46
1145,2,2,1,4,29
1146,3,3,3,1,51
1147,2,3,3,3,49
1148,2,2,3,2,39
1149,2,1,1,4,19
1150,3,3,2,1,46
1151,2,3,3,2,49
1153,3,3,3,1,51
1154,2,3,2,3,44
1155,3,3,3,1,51
1156,3,2,2,3,36
1158,2,2,2,2,34
1160,1,2,2,2,32
1161,1,1,2,2,22
1162,1,1,1,5,17
1164,3,3,2,1,46
1166,2,2,3,3,39
1167,1,1,2,2,22
1168,1,1,2,4,22
1169,2,3,2,3,44
1170,2,3,2,2,44
1171,3,2,3,1,41
1172,2,3,3,3,49
1175,2,2,2,2,34
1176,2,2,1,4,29
1177,2,2,3,3,39
1180,2,3,2,3,44
1181,1,1,1,5,17
1182,3,3,2,3,46
1183,2,2,3,3,39
1184,3,3,3,1,51
1185,3,2,3,1,41
1186,1,1,1,5,17
1187,3,3,3,1,51
1188,1,1,2,2,22
1190,2,2,3,2,39
1191,1,2,1,4,27
1192,2,2,1,3,29
1193,3,3,1,3,41
1194,1,1,1,4,17
1195,2,2,1,4,29
1197,1,1,2,2,22
1199,2,3,3,3,49
1200,1,1,1,4,17
1201,2,2,1,4,29
1202,2,3,1,4,39
1203,3,3,3,1,51
1204,1,1,1,4,17
1205,1,1,2,2,22
1206,3,3,2,1,46
1207,3,3,3,1,51
1208,2,2,1,4,29
1209,2,2,3,2,39
1212,3,3,3,1,51
1213,2,3,3,1,49
1214,1,1,3,2,27
1215,2,3,3,3,49
1217,2,3,3,3,49
1218,2,2,3,2,39
1220,1,1,1,5,17
1221,1,1,1,5,17
1222,3,3,3,1,51
1224,2,2,1,4,29
1225,1,1,1,5,17
1226,1,2,2,2,32
1227,2,2,2,4,34
1228,2,3,1,5,39
1230,1,1,1,4,17
1231,2,2,3,3,39
1232,2,3,2,4,44
1233,2,3,2,2,44
1234,3,3,2,1,46
1235,3,2,3,1,41
1237,2,3,3,2,49
1238,1,3,2,2,42
1239,2,1,3,2,29
1240,2,2,3,2,39
1241,2,3,3,3,49
1244,2,2,1,4,29
1245,1,1,1,5,17
1246,2,1,2,2,24
1247,2,3,3,3,49
1250,2,2,1,4,29
1251,3,3,2,3,46
1252,2,3,2,3,44
1253,1,1,3,2,27
1255,2,3,2,3,44
1256,1,1,1,5,17
1257,2,1,2,4,24
1258,2,1,2,3,24
1260,2,3,2,3,44
1261,3,3,3,1,51
1262,2,3,1,3,39
1263,3,3,3,1,51
1264,2,2,1,4,29
1265,2,1,2,4,24
1267,1,2,2,2,32
1269,1,3,2,2,42
1270,2,3,1,3,39
1272,2,2,3,2,39
1273,1,1,1,4,17
1274,2,3,1,3,39
1277,3,3,3,1,51
1279,1,1,3,2,27
1280,3,3,2,1,46
1281,2,3,3,3,49
1282,2,3,1,4,39
1283,1,1,2,2,22
1284,2,2,1,4,29
1286,3,3,3,1,51
1287,1,1,1,5,17
1288,2,3,2,3,44
1289,2,3,1,4,39
1290,1,1,2,2,22
1291,2,2,2,2,34
1292,1,1,1,5,17
1294,1,1,1,4,17
1295,1,2,1,5,27
1296,2,2,1,3,29
1298,2,3,1,4,39
1299,1,1,2,4,22
1300,1,2,1,4,27
1301,2,1,1,4,19
1302,2,3,2,3,44
1303,1,1,1,5,17
1304,2,2,3,3,39
1306,2,3,1,4,39
1307,2,3,3,2,49
1308,1,3,1,5,37
1309,2,2,1,4,29
1310,1,1,1,4,17
1311,1,1,1,4,17
1312,1,1,1,5,17
1313,2,2,3,3,39
1314,1,1,3,2,27
1316,1,1,1,4,17
1317,1,1,2,2,22
1318,2,1,1,4,19
1319,2,2,2,2,34
1320,2,2,2,3,34
1321,2,2,2,3,34
1322,2,3,2,3,44
1323,2,3,3,3,49
1325,2,2,3,2,39
1326,1,1,1,4,17
1328,2,3,3,3,49
1329,2,2,1,5,29
1330,2,3,2,3,44
1331,2,2,1,4,29
1332,3,3,3,1,51
1333,2,3,1,5,39
1334,2,2,3,2,39
1335,3,3,3,1,51
1337,2,2,2,2,34
1338,2,2,1,4,29
1339,2,1,2,3,24
1340,1,1,2,2,22
1341,2,3,2,4,44
1342,1,2,3,2,37
1343,3,3,2,1,46
1344,1,1,2,2,22
1345,2,3,3,3,49
1347,2,2,1,4,29
1348,2,2,1,4,29
1349,2,2,1,5,29
